# rat_sw calibration data (tools/calib_analyze.py)
# captured: 2026-09-26 20:26:12
# test: noise 1000
# period_ms=10 samples=100 capacity=320 result=OK build="Sep 26 2026 15:32:51"
# ticks_per_mm=9.05 cell_mm=180 turn_ticks=403 kv_l=1.04 kv_r=1.04 tau_ms=53.00 ks=25
# spd=600 fast=900 curve=300 accel=3000 turn=500 turn_accel=5000 kp=0.00 ki=0.00
# curve_r=70.0 curve_ramp=30.0 curve_angle=90.00 curve_slip=2.00 curve_len=140.0 curve_vmax=479
# curve_pre=4.5 curve_post=4.5 curve_pre_adj=0.0 curve_post_adj=0.0
# wall_detect_mm=140 front_ref_mm=94 front_emergency_mm=60 side_track_mm=130
# lane_mm=168 center_l=89.0 center_r=76.0
# front_square_offset_mm=-15 side_yaw_doubt_mm=10 side_close_doubt_mm=25 wall_samples=5 wall_votes=4
# ir_cal_fl="-0.00000002278f, 0.000132f, -0.2627f, 237.7f"
# ir_cal_fr="-0.00000003535f, 0.0001995f, -0.3834f, 317.6f"
# ir_cal_sl="-0.00000005219f, 0.0002629f, -0.4566f, 325.6f"
# ir_cal_sr="-0.00000003241f, 0.0001505f, -0.25f, 189.0f"
# end: result=OK samples=100
t_ms,enc_l,enc_r,pwm_l,pwm_r,raw_fl,raw_fr,raw_sl,raw_sr,ref_fwd,ref_rot
0,0,0,0,0,962,968,353,613,0,0
10,0,0,0,0,964,970,379,638,0,0
20,0,0,0,0,962,964,376,637,0,0
30,0,0,0,0,965,970,377,640,0,0
40,0,0,0,0,964,969,425,639,0,0
50,0,0,0,0,964,970,424,637,0,0
60,0,0,0,0,967,974,427,639,0,0
70,0,0,0,0,964,967,449,638,0,0
80,0,0,0,0,964,973,447,637,0,0
90,0,0,0,0,965,972,167,614,0,0
100,0,0,0,0,963,968,167,638,0,0
110,0,0,0,0,963,999,400,636,0,0
120,0,0,0,0,965,969,425,639,0,0
130,0,0,0,0,962,968,424,636,0,0
140,0,0,0,0,963,968,449,637,0,0
150,0,0,0,0,963,965,448,638,0,0
160,0,0,0,0,959,966,447,634,0,0
170,0,0,0,0,964,997,379,635,0,0
180,0,0,0,0,961,995,375,637,0,0
190,0,0,0,0,960,966,235,634,0,0
200,0,0,0,0,965,969,166,637,0,0
210,0,0,0,0,962,969,166,637,0,0
220,0,0,0,0,963,970,213,636,0,0
230,0,0,0,0,963,971,283,638,0,0
240,0,0,0,0,963,969,308,636,0,0
250,0,0,0,0,964,969,355,638,0,0
260,0,0,0,0,964,970,353,615,0,0
270,0,0,0,0,966,970,379,613,0,0
280,0,0,0,0,963,967,377,615,0,0
290,0,0,0,0,964,966,378,637,0,0
